,nama_kabupaten_kota,jumlah_siswa,tahun
0,Kabupaten Bandung,870.0,2020
1,Kabupaten Bandung Barat,569.0,2020
2,Kabupaten Bekasi,843.0,2020
3,Kabupaten Bogor,1751.0,2020
4,Kabupaten Ciamis,308.0,2020
5,Kabupaten Cianjur,931.0,2020
6,Kabupaten Cirebon,780.0,2020
7,Kabupaten Garut,805.0,2020
8,Kabupaten Indramayu,917.0,2020
9,Kabupaten Karawang,531.0,2020
10,Kabupaten Kuningan,241.0,2020
11,Kabupaten Majalengka,303.0,2020
12,Kabupaten Pangandaran,23.0,2020
13,Kabupaten Purwakarta,219.0,2020
14,Kabupaten Subang,486.0,2020
15,Kabupaten Sukabumi,729.0,2020
16,Kabupaten Sumedang,142.0,2020
17,Kabupaten Tasikmalaya,374.0,2020
18,Kota Bandung,532.0,2020
19,Kota Banjar,39.0,2020
20,Kota Bekasi,542.0,2020
21,Kota Bogor,444.0,2020
22,Kota Cimahi,155.0,2020
23,Kota Cirebon,267.0,2020
24,Kota Depok,707.0,2020
25,Kota Sukabumi,257.0,2020
26,Kota Tasikmalaya,185.0,2020
