,nama_kabupaten_kota,jumlah_siswa,tahun
0,Kabupaten Bandung,1196.0,2018
1,Kabupaten Bandung Barat,433.0,2018
2,Kabupaten Bekasi,656.0,2018
3,Kabupaten Bogor,2416.0,2018
4,Kabupaten Ciamis,277.0,2018
5,Kabupaten Cianjur,924.0,2018
6,Kabupaten Cirebon,715.0,2018
7,Kabupaten Garut,1448.0,2018
8,Kabupaten Indramayu,772.0,2018
9,Kabupaten Karawang,714.0,2018
10,Kabupaten Kuningan,237.0,2018
11,Kabupaten Majalengka,199.0,2018
12,Kabupaten Pangandaran,83.0,2018
13,Kabupaten Purwakarta,294.0,2018
14,Kabupaten Subang,447.0,2018
15,Kabupaten Sukabumi,595.0,2018
16,Kabupaten Sumedang,201.0,2018
17,Kabupaten Tasikmalaya,325.0,2018
18,Kota Bandung,795.0,2018
19,Kota Banjar,80.0,2018
20,Kota Bekasi,723.0,2018
21,Kota Bogor,384.0,2018
22,Kota Cimahi,264.0,2018
23,Kota Cirebon,181.0,2018
24,Kota Depok,478.0,2018
25,Kota Sukabumi,128.0,2018
26,Kota Tasikmalaya,139.0,2018
